sup_a,sup_b,dist_m,dE,dN,sx,sy,sharp,gsd_x,gsd_y,retenu
2888306,457248,10.415613279983898,9.368015120278029,-4.560489369326622,136.0,68.0,118.19817467407805,0.06888246411969139,0.06706602013715621,True
2990221,3324026,23.233202534354945,2.568783739249017,23.02532795545669,44.0,-336.0,54.77632216888479,0.05838144861929584,0.06852776177219252,True
1597246,2376660,29.709178716234405,6.68482277554727,28.91893562507661,102.0,-422.0,46.68838613445356,0.0655374781916399,0.06852828347174553,True
1831346,2543945,30.916109091705838,0.0,-30.920311002549113,-6.0,452.0,46.57297873324118,,0.06840776770475468,True
1567073,2600166,31.3759987886166,11.52585594672673,-29.14085466234715,168.0,427.0,28.205449142827568,0.06860628539718291,0.06824556127013384,True
1960586,646725,47.04075785920896,29.267214765863585,36.70543019675436,80.0,-104.0,12.930013079786818,0.3658401845732948,0.35293682881494576,True
3097902,587183,56.717281275539776,32.8259167018817,46.159343482067285,-16.0,111.0,9.857553373170107,-2.0516197938676064,-0.41584994127988545,True
1950123,355018,62.55059348091564,-52.93774230941217,-33.256214708469,-144.0,192.0,11.062714212732901,0.36762321048202895,0.1732094516066094,True
1289160,567326,68.93824482825814,37.72414625430852,-57.726808402834706,24.0,-64.0,13.125722063043856,1.571839427262855,-0.9019813812942923,True
2965202,640138,71.05436580490257,23.729413870363036,66.96162289628512,72.0,0.0,10.221865977412676,0.32957519264393104,,True
1597179,2293272,71.42414857722622,-66.49213839785797,25.916273592674163,152.0,-24.0,10.416236430828073,-0.43744827893327615,1.07984473302809,True
1942314,461802,71.80217823989213,70.46532130273563,-13.569383632073992,-120.0,-184.0,10.277362848284278,-0.5872110108561303,-0.07374665017431517,True
2623227,517258,73.75295316117592,-71.61909782870545,17.462680254342523,8.0,-120.0,11.403436501169478,,0.14552233545285437,True
456417,697990,86.12957273786108,77.14270285077315,-38.150982890369065,-8.0,-8.0,11.178122352654135,,,False
1628010,2445447,89.34101521683796,86.0206971222282,-23.80288666967228,-112.0,88.0,13.166171925902344,-0.7680419385913232,0.2704873485190032,True
