id,sup_id,x_recal,y_recal,lat,lon,height_m,offset_m
1,1007156,603980.7000773,7003007.70455037,50.117991,1.658814,,0.0
2,1010485,608450.6732640498,6996197.305755401,50.0575,1.722778,,0.0
3,105408,592448.17,7010177.8100000005,50.180504,1.495859,10.39,13.298867751107997
4,105438,628791.41,6977520.17,49.892376,2.009789,27.319999999999997,0.5141234501111818
5,105442,610253.16,7016636.25,50.241285,1.743383,3.0700000000000003,7.527339577953045
6,105470,639208.16,6965444.92,49.784987,2.156424,7.1200000000000045,34.27975905297138
7,1185884,644389.9500000001,6974272.33,49.864765,2.227125,25.32999999999999,29.207601305832693
8,1193708,652191.77,6978306.99,49.901646,2.335078,5.860000000000007,13.564632131030065
9,1208432,678520.96,6960336.93,49.741647,2.702204,25.52,2.55757474075427
10,1208443,594963.4,6992455.16,50.021792,1.535623,30.049999999999983,3.0823576645785877
11,1212322,615053.8959325887,6989011.305934914,49.993889,1.816389,,0.0
12,1279490,687038.60001043,6985768.5045624,49.970347,2.81949,,0.0
13,1282638,620661.9,7002520.83,50.115942,1.891877,30.03,0.2254492693714528
14,1289160,649618.65,6977309.24,49.892484,2.299415,15.950000000000005,2.752123473997792
15,1402312,651697.3,6976683.140000001,49.887022,2.328393,30.28,1.1123957659245776
16,1411548,643086.26,6975455.79,49.87528,2.208842,40.010000000000005,1.3924908998081698
17,1412337,713914.67,6987572.38,49.986529,3.193847,43.140000000000015,15.569615825805563
18,1415008,608117.88,7016001.75,50.235279,1.713635,26.47,18.13335347933612
19,1419079,620519.42,6972970.86,49.850525,1.895659,35.29000000000002,8.19795395835094
20,1422987,597335.5700000001,7007603.25,50.158205,1.564849,33.31,3.4859909773577216
21,1429406,679158.92,6975634.43,49.879103,2.710271,42.60999999999999,1.6466080734668571
22,1445381,609489.97,7020923.48,50.279665,1.731735,35.129999999999995,0.4366431724381448
23,1456691,615934.20006767,7000113.60455242,50.093712,1.826354,,0.0
24,1459014,695469.23,6981752.46,49.934389,2.936946,19.86,6.170692866606204
25,1484712,612717.09,7027309.07,50.337448,1.77556,40.02,5.807910205024804
26,1498704,643459.26,6982866.15,49.941878,2.213,12.200000000000005,0.8347794036359847
